accommodates,bathrooms,bedrooms,beds,host_total_listings_count,minimum_nights,number_of_reviews,price,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value
2.0,1.0,0.0,1.0,1.0,1.0,155.0,199.0,10.0,10.0,10.0,10.0,9.0,93.0,9.0
4.0,2.0,2.0,2.0,1.0,2.0,5.0,390.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,12.0,110.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.5,1.0,1.0,1.0,2.0,19.0,95.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
6.0,3.5,3.0,3.0,1.0,30.0,40.0,850.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
6.0,2.0,3.0,4.0,1.0,5.0,6.0,465.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,30.0,172.0,10.0,10.0,10.0,10.0,9.0,95.0,9.0
5.0,2.0,3.0,3.0,1.0,7.0,1.0,279.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,5.0,49.0,150.0,10.0,10.0,9.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,11.0,200.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
4.0,3.0,3.0,3.0,1.0,3.0,1.0,250.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,0.0,300.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
4.0,1.0,1.0,1.0,1.0,3.0,20.0,200.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
5.0,2.5,3.0,2.0,1.0,7.0,2.0,500.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,217.0,220.0,9.0,10.0,10.0,10.0,10.0,93.0,9.0
8.0,3.0,3.0,4.0,1.0,2.0,47.0,950.0,9.0,10.0,10.0,10.0,10.0,98.0,9.0
4.0,1.0,1.0,2.0,1.0,1.0,45.0,199.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
3.0,1.0,1.0,2.0,1.0,3.0,125.0,328.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
6.0,2.5,3.0,3.0,1.0,2.0,0.0,550.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
3.0,2.0,2.0,2.0,1.0,30.0,6.0,126.0,9.0,10.0,9.0,10.0,10.0,93.0,9.0
